shift_id,category,note
S107123,handover_delay,"oorhandiging was laat, geewag vir sleutels"
S100716,relief_no_show,Botha off sick. again. covered
S106552,routine_or_unclear,Covering for Khumalo - booked off sick
S108889,equipment_failure,"masjien is stukkend, alles met die hand gedoen"
S100160,routine_or_unclear,"aflos het nie opgedaag nie, moes aanbly"
S108113,client_request,"client wanted extra man on the gate for the event, approved"
S104315,relief_no_show,Covered for Zulu agn - 3rd time this month
S100588,handover_delay,"oorhandiging was laat, gewag vir sletuels"
S106213,relief_no_show,"Radebe didnt come in, covered the post"
S102110,client_request,"client says stay till 0600, dont know if office approved"
S103965,relief_no_show,"Mavuso didnt come in, covered the post"
S102765,routine_or_unclear,"buffer mcahine kaput, did the floor by hand.."
S102065,client_request,"CLIENT ASKED US TO STAY FOR THE DELIVERY, OK'D BY CENTRE MGMT"
S108797,client_request,Client requested deep clean before the audit - approved
S100570,routine_or_unclear,no incidents
S106130,client_request,extra hours approved by client for the event setup
S105900,relief_no_show,"covering Maluleke post, no show no call"
S100159,routine_or_unclear,"lift out of order, everything carried up stairs, took long"
S107412,client_request,Client requested deep clean before the audit - approved
S104919,relief_no_show,double shift bc relief never pitched
S104519,routine_or_unclear,"SCRUBBER BROKE DOWN, HAD TO DO THE FLOOR MANUALLY"
S104625,routine_or_unclear,"scrubber broke down, had to do the floor manually"
S104230,relief_no_show,"HENDRICKS DIDNT COME IN, COVERED THE POST"
S107710,routine_or_unclear,"buffer machine kaput, did the floor by hand.."
S107512,routine_or_unclear,no issues on site
S107337,relief_no_show,next shift guard did not pitch. had to cover.
S109128,routine_or_unclear,sharp
S104122,routine_or_unclear,-
S100731,handover_delay,"late handover, waiting on paperwork"
S107041,client_request,"client says stay till 0600, dont know if offcie approved"
S107057,routine_or_unclear,no incidents
S108017,relief_no_show,"relief only arrived six, stayed until thhen"
S100815,routine_or_unclear,
S105108,routine_or_unclear,"buffer machine kaput, did the floor by hand"
S104091,routine_or_unclear,"double duty today, Ngcobo on family responsibility leave"
S105998,routine_or_unclear,sharp
S106138,relief_no_show,"relief only arrived 06:00, stayed until then"
S103597,relief_no_show,"covering Molefe post, no show no call.."
S107765,relief_no_show,no relief. stayed. someone must please sort the roster
S102732,relief_no_show,stood in for Khumalo
S100013,relief_no_show,"no replacement sent, ngicela sort this out"
S107891,relief_no_show,"covering Radebe post, no show no call"
S104320,relief_no_show,client signed for the extra hrs but real reason is relief no show again
S103450,client_request,"client wanted extra man on the gate for the event, approved"
S105833,client_request,Centre manager requested additional cover for stocktake..
S107430,routine_or_unclear,"buffer machine kaput, did the floor by hand"
S105324,handover_delay,"waited 20 min for handover, OB book not signed"
S101068,relief_no_show,"mavuso didnt come in, covered the post"
S103089,routine_or_unclear,"took Mavuso shift as well, 2 posts 1 guard"
S106346,client_request,"CLIET SAYS STAY TILL 0600, DONT KNOW IF OFFICE APPROVED"
S100845,routine_or_unclear,n/a
S101082,routine_or_unclear,-
S102397,relief_no_show,"relief oly arrived six, stayed until then"
S101577,client_request,"stocktake ran over, client asked us to remain, they know they pay for it"
S103386,routine_or_unclear,akukho lutho
S100261,client_request,"extra patrol per client email, approved by office"
S108560,routine_or_unclear,"Motaung absent, took her rounds as well"
S100346,routine_or_unclear,"gate motor faled, manned it by hand till 06h00"
S107758,relief_no_show,"waited for relief, nobody came through"
S103760,relief_no_show,client signed for the extra hours but real reason is relief no show agn
S105632,handover_delay,"late handover, waiting on paperwork"
S102162,routine_or_unclear,quiet shift
S106556,routine_or_unclear,"gate motor failed, manned it by hand till six"
S106150,routine_or_unclear,"DOUBLE DUTY TODAY, WYK ON FAMILY RESPONSIBILITY LEAVE"
S104946,routine_or_unclear,ok
S109135,handover_delay,"late handover, waiting on paperwork"
S107358,client_request,"extra patrool per client email, approved by office"
S108965,client_request,"client says stay till six, dont know if office approved"
S107557,relief_no_show,Balloyi off sick. agn. covered
S102889,client_request,"client says stay till 6am, dont know if office approved"
S101114,client_request,klient het ekstra ure gevra vir stocktake !
S104158,client_request,"client says say till 6am, dont know if office approved"
S108836,relief_no_show,"waited for relief, nobody came through"
S103378,handover_delay,"handover laet agn, keys missing"
S108174,handover_delay,shift handover delayed by 20 min..
S102121,routine_or_unclear,akukho lutho
S106272,routine_or_unclear,"additional cover requested by site manager, signed off"
S102883,client_request,"client asked us to stay for the delivery, ok'd by centre mgmt"
S104413,routine_or_unclear,"double duty today, Zulu on family responsibility leave"
S102630,routine_or_unclear,"took dlamini shift as well, 2 posts 1 guard"
S103206,relief_no_show,stood in for Fourie
S103609,routine_or_unclear,"gedek vir Ndlovu, siek gemeld"
S103551,client_request,CLIETN ASKED FOR EXTRA PATROL AFTER THE BREAK-IN TUESDAY
S107118,client_request,klient het ekstra ure gevra vir stocktake
S107491,routine_or_unclear,zulu off sick. again. coveered.
S103775,routine_or_unclear,"scrubber broke down, had to do the floor manually.."
S104429,relief_no_show,"Septeember didnt come in, covered the post"
S104005,relief_no_show,"Mabaso didnt come in, covered the post"
S102885,routine_or_unclear,sharp
S106574,routine_or_unclear,ntr
S104365,routine_or_unclear,"additional cover requested by site mgr, signed off"
S105303,client_request,extra hours approved by client for the event setup
S102254,client_request,"client says stay till 6, dont know if office approved"
S102028,client_request,"stocktake ran over, client asked us to reemain, they know they pay for it"
S107739,client_request,klient het ekstra ure gevra vir stocktake..
S100313,equipment_failure,"generator fault, stayed to monitor"
S105239,routine_or_unclear,"scrubber broke down, had to do the floor manually"
S101500,routine_or_unclear,"Sithole absent, took her rounds as well"
S109296,relief_no_show,"NEXT SHIFT AKAFIKANGA, NGIHLALE KUZE KUBE 0600.."
S109301,routine_or_unclear,"took Wyk shift as well, 2 posts 1 gard.."
S102605,routine_or_unclear,n/a
S103931,routine_or_unclear,niks om te rapporteer nie
S102420,handover_delay,"oorhandiging was laat, gewag vir sleutels"
S108871,client_request,Client askeed for extra patrol afetr the break-in Tuesday
S105150,routine_or_unclear,-
S106438,relief_no_show,stood in for Mabaso
S102631,relief_no_show,"NEXT SHIFT AKAFIKANGA, NGIHLALE KUZE KUBE 06:00"
S105083,routine_or_unclear,"additional cover requested by site manager, signed off"
S108286,equipment_failure,"masjien is stukkend, alles met die hand gedoen"
S101325,client_request,klient het ekstra ure gevra vir stocktake !
S108195,relief_no_show,"relief never arrived, stayed on till 6am"
S104015,relief_no_show,"covering Motaung post, no show no caall"
S102989,handover_delay,"handover late agn, keys missing"
S108078,relief_no_show,Next shift guard did not pitch. Had to covr.
S106439,routine_or_unclear,"double duty today, Sithole on family responsibility leave"
S101779,handover_delay,"late handover, waiting on paperwork"
S101122,relief_no_show,PILLAY OFF SICK. AGN. COVERED !
S102228,relief_no_show,stood in for Fourie
S100554,client_request,Centre manager requested addtional cover for stocktake..
S108850,routine_or_unclear,.
S106565,routine_or_unclear,ok
S109287,handover_delay,"waited 25 min for handover, OB book not signed.."
S108347,routine_or_unclear,n/a
S107387,routine_or_unclear,"took naidoo shift as well, 2 posts 1 guard.."
S106396,client_request,Client asked for extra patrol after the break-in Tuesday..
S100905,routine_or_unclear,quiet shift
S100333,routine_or_unclear,"geddek vir Mabaso, siek gemeld.."
S103806,relief_no_show,Ndlovu off sick. aggn. covered
S103850,routine_or_unclear,no issues on site
S101502,routine_or_unclear,"additional cover requested by site manager, signed off"
S106645,client_request,client asked for extra patrol after the break-in tuesday
S104103,routine_or_unclear,"Pillay absent, took her rounds as well"
S102856,routine_or_unclear,niks om te rapporteer nie
S101331,relief_no_show,"no replacement sent, ngicela sort this out.."
S108104,equipment_failure,"masjien is stukkend, alles met die hand gedoen"
S102307,routine_or_unclear,"double duty today, Maluleke on family responsibility leave"
S102886,routine_or_unclear,"took Adams shift as well, 2 posts 1 guard.."
S106107,routine_or_unclear,"machine down again, took twice as long"
S104337,routine_or_unclear,"requested by centre management for load in, signed off"
S106848,routine_or_unclear,no issues on site
S103166,routine_or_unclear,ok
S103384,equipment_failure,"generator fault, stayed to monitor"
S100022,client_request,Client rquested deep clean before the audit - approved
S109118,routine_or_unclear,"buffer machine kaput, did the floor by hand"
S103269,routine_or_unclear,all good
S100388,routine_or_unclear,"additional cover requested by site manager, signed off"
S103014,routine_or_unclear,"Sithole absent, took her rounds as well"
S103608,routine_or_unclear,"aflos het nie opgedaag nie, moes aanbly"
S104501,routine_or_unclear,all fine
S103366,routine_or_unclear,quiet shift
S101518,handover_delay,"waited 30 min for handover, ob book not signed"
S102859,routine_or_unclear,"scrubber broke down, had to do the floor manually"
S106529,client_request,"client asked us to stay for the delivery, ok'd by centre mgmt"
S104422,routine_or_unclear,all fine
S100738,relief_no_show,double shift bc relief never pitched
S102143,routine_or_unclear,ok
S101484,handover_delay,"waited 45 min for handover, OB book not signed"
S105299,routine_or_unclear,n/a
S100204,routine_or_unclear,all good
S105768,client_request,client asked for extra patrol after the break-in tuesday
S107100,routine_or_unclear,n/a
S106646,client_request,client requested deep clean befroe the audit - approved
S104821,handover_delay,"oorhandiging was lat, gewag vir sleutels"
S101034,routine_or_unclear,no issues on site
S103226,client_request,Client requested deep clean before the audit - approved..
S106671,routine_or_unclear,"requested by centre management for load in, signed off"
S109348,relief_no_show,client signed for the extra hours but real reason is relief no show agn
S105269,relief_no_show,"covering Sibiya post, no show no call"
S103800,routine_or_unclear,nothing to report
S108275,relief_no_show,relif no show AGAIN
S102865,client_request,Client asked for extra patrol after the break-in Tuesday
S102439,routine_or_unclear,all good
S107217,routine_or_unclear,"buffer machine kaput, did the floor by hand"
S102952,routine_or_unclear,ntr
S108076,client_request,"CLIENT ASKED US TO STAY FOR THE DELIVERY, OK'D BY CENTRE MGMT"
S100629,relief_no_show,COVERED FOR WYK AGAIN - 3RD TIME THIS MONTH
S108051,equipment_failure,"masjien is stukkend, alles met die hand gedoen"
S108033,relief_no_show,Next shift guard did not pitch. Had to cover.
S108562,routine_or_unclear,Covering for Adams - booked off sick
S104862,handover_delay,"handover late again, keys missing"
S102855,relief_no_show,Next shift guard did not pitch. Had to cover.
S103428,routine_or_unclear,"zulu absent, took her rounds as well"
S103584,routine_or_unclear,"worked through, baloyi at the clinic"
S106947,handover_delay,shift handover delayed by 40 min
S108154,routine_or_unclear,.
S105631,relief_no_show,Khumalo off sick. again. covered.
S104568,routine_or_unclear,"Cele absent, took her rounds as well"
S105508,handover_delay,"oorhandiging was laat, gewag vir sleutels"
S106033,routine_or_unclear,Covering for Fourie - booked off sick
S106673,client_request,Client asked for exra patrol after the break-in Tuesday
S109183,client_request,Client requested deep clean before the audit - approveed
S108185,relief_no_show,"covering Wyk post, no show no call"
S103019,relief_no_show,"still on site, relief was suppose to come 06:00"
S102844,relief_no_show,radebe off sick. again. covered.
S107816,routine_or_unclear,"worked through, Maluleke at the clinic"
S101627,handover_delay,"waited 40 min for handover, OB book not signed"
S108529,relief_no_show,"uFourie akezanga namhalnje, ngimele yena"
S101445,equipment_failure,"masjien is stukkend, alles met die hand gedoen"
S104588,routine_or_unclear,all good
S108628,routine_or_unclear,"buffer machine kaput, did the floor by hand"
S108873,relief_no_show,Fourie off sick. agn. covered.
S104017,relief_no_show,"uPillay akezanga namhlanje, nimele yena !"
S106533,relief_no_show,"no replacement sent, ngicela sort this out"
S101777,routine_or_unclear,"machine down again, took twice as long"
S103073,routine_or_unclear,covering for nkosi - booked off sick..
S100983,routine_or_unclear,no issues on site
S108346,relief_no_show,"covering Cele post, no show no call"
S107474,relief_no_show,"control room says relief coming, nobody came"
S100715,routine_or_unclear,nothing to report
S106737,handover_delay,"laet handover, waiting on paperwork"
S105115,relief_no_show,Naidoo off sick. agn. covered.
S100577,routine_or_unclear,"requested by centre management for load in, signed off"
S103405,routine_or_unclear,n/a
S105653,relief_no_show,stood in for Jacobs
S102421,client_request,"stocktake ran over, client asked us to remain, they know they pay for it"
S102725,routine_or_unclear,-
S103582,relief_no_show,"Mabaso didnt come in, covered the post.."
S109249,routine_or_unclear,quiet shift
S106149,client_request,client asked for extra patrol after the break-in tuesday
S103062,relief_no_show,"no replacement sent, ngicela sort this out"
S103565,routine_or_unclear,ntr
S107861,routine_or_unclear,sharp
S100942,relief_no_show,Nkosi off sick. again. covered.
S107766,relief_no_show,"uAdams akezanga namhlanje, ngimele yena"
S104514,routine_or_unclear,ntr
S108019,routine_or_unclear,"BUFFER MACHINE KAPUT, DID THE FLOOR BY HAND.."
S100711,routine_or_unclear,"took Wyk shift as well, 2 posts 1 guard"
S107338,routine_or_unclear,"took Sithole shift as well, 2 posts 1 guard"
S105984,handover_delay,"late handover, waiting on paperwork"
S100747,client_request,"client says stay till 6am, dont know if office approved"
S103623,relief_no_show,relief no show again
S106555,handover_delay,shift handover delayed by 45 min
S104288,routine_or_unclear,"took Sithole shift as well, 2 posts 1 guard"
S101734,routine_or_unclear,"Mokoena absent, took her rounds as well"
S103832,relief_no_show,"still on site, relief was suppose to come 06:00"
S106792,relief_no_show,"no replacement sent, ngicela sort this out.."
S106354,client_request,Client requested deep clean before the audit - approved
S102049,client_request,"client asked us to stay for the delivery, ok'd by cnetre mgmt"
S106122,handover_delay,shift handover delayed by 30 min..
S103211,routine_or_unclear,"additional cover requested by site manager, signed off"
S103957,routine_or_unclear,quiet shift
S103447,relief_no_show,"relief never arrived, stayed on till 06:00"
S103726,routine_or_unclear,"worked through, fourie at the clinic"
S100818,routine_or_unclear,"worked through, mthembu at the clinic"
S103655,handover_delay,"late handover, waitnig on paperwork"
S102134,handover_delay,"handover late agn, keys missing !"
S107628,routine_or_unclear,as per normal
S104916,routine_or_unclear,"Mavuso absent, took her rounds as well"
S103547,relief_no_show,"relief only arrived 6, stayed until then.."
S107968,relief_no_show,"no replacement sent, ngicela sort this out"
S102834,routine_or_unclear,"gate motor failed, manned it by hand till 6"
S108466,routine_or_unclear,"GEDK VIR MOKOENA, SEK GEMELD"
S108071,relief_no_show,"waited for relief, nobody came through"
S107721,routine_or_unclear,"WORKED THROUGH, MOTAUNG AT THE CLINIC"
S106240,routine_or_unclear,"aflos het nie opgedaag nie, moes aanbly.."
